G1,G2,G3,G4,G5,V_GMPP,P_Max
1000,800,400,200,100,72.8553745011157,284.954557753628
900,900,400,200,100,71.0324935231392,304.755558694853
1000,900,400,200,100,71.8851705649086,315.187656517845
1000,1000,400,200,100,71.0725484804781,338.647766805804
500,500,500,200,100,107.274711546951,256.551235141163
600,500,500,200,100,108.750860079142,264.271216545891
700,500,500,200,100,109.852403555579,267.024012551003
800,500,500,200,100,110.39493317802,268.723674358477
900,500,500,200,100,110.859433872102,269.95038610014
1000,500,500,200,100,111.212923424992,270.912118884234
600,600,500,200,100,109.873794944107,273.87087853321
700,600,500,200,100,111.833354041595,277.008168265561
800,600,500,200,100,112.524102977823,278.616213761332
900,600,500,200,100,112.98434588378,279.892756418107
1000,600,500,200,100,113.40771633714,280.888225252791
700,700,500,200,100,112.723638841103,283.335225164762
800,700,500,200,100,113.862622365,281.947148210705
900,700,500,200,100,113.986174874407,282.892059948173
1000,700,500,200,100,114.429753026462,283.876903845607
800,800,500,200,100,115.095072110358,286.911465962459
900,800,500,200,100,114.969473818083,284.619128463594
1000,800,500,200,100,115.224904158371,285.645584365016
900,900,500,200,100,71.0202558432315,304.759101013858
1000,900,500,200,100,71.7566414229882,315.183963755819
1000,1000,500,200,100,70.9955708796916,338.656300515994
600,600,600,200,100,107.656456667306,309.065240807237
700,600,600,200,100,109.077097383418,317.504588351228
800,600,600,200,100,109.976429492333,320.731998648199
900,600,600,200,100,110.476063996459,322.73941985525
1000,600,600,200,100,111.083191410724,324.195936343614
700,700,600,200,100,110.494196902433,328.109414377312
800,700,600,200,100,111.838191932712,331.521008796119
900,700,600,200,100,112.484554887487,333.644925608379
1000,700,600,200,100,112.838385038647,335.168491164155
800,800,600,200,100,111.763611718147,338.88524869128
900,800,600,200,100,113.275438613227,337.382648551642
1000,800,600,200,100,113.894110283841,338.712627494433
900,900,600,200,100,113.875342289245,339.893439974795
1000,900,600,200,100,114.441519460365,340.893586188747
1000,1000,600,200,100,115.042153754157,342.418992789226
700,700,700,200,100,107.923506602405,361.47670098914
800,700,700,200,100,109.384915144786,370.666651966284
900,700,700,200,100,109.936912779148,374.202160017529
1000,700,700,200,100,110.541277690593,376.513803437106
800,800,700,200,100,110.172617980384,382.188329788832
900,800,700,200,100,111.655918316187,385.841586669315
1000,800,700,200,100,112.231977003321,388.295260101143
900,900,700,200,100,111.471092032815,389.984219552025
1000,900,700,200,100,113.27137141904,392.33261237324
1000,1000,700,200,100,113.862935511459,394.857182348987
800,800,800,200,100,108.104609796731,413.725614629614
900,800,800,200,100,109.244638790759,423.29268490903
1000,800,800,200,100,109.975802156766,427.401190099711
900,900,800,200,100,110.407139822921,435.239311394938
1000,900,800,200,100,110.917704040369,440.054011221689
1000,1000,800,200,100,112.312172867934,444.341035639796
